checkpoint,model_name,variant,num_frames,input_size,depth,num_labels,epoch,val_acc,best_history_val_acc,train_loss,val_loss,epoch_seconds,samples_per_second,ssm_cfg
fine_tuned_models/accv2026_videomamba3_middle_complex_ucf101_112r_f2_d4_e3_fast_h200,videomamba3_middle,complex,2,112,4,101,1,0.44140625,0.44140625,2.39964914,1.78737259,653.349,1.56730958,"{""d_state"": 16, ""expand"": 1, ""headdim"": 32, ""mimo_rank"": 2}"
fine_tuned_models/accv2026_videomamba3_middle_complex_ucf101_112r_f2_d4_e3_fast_h200_epoch1,videomamba3_middle,complex,2,112,4,101,1,0.44140625,,,,,,"{""d_state"": 16, ""expand"": 1, ""headdim"": 32, ""mimo_rank"": 2}"
fine_tuned_models/accv2026_videomamba3_middle_complex_ucf101_112r_f2_d4_e3_fast_h200_epoch2,videomamba3_middle,complex,2,112,4,101,2,0.328125,,,,,,"{""d_state"": 16, ""expand"": 1, ""headdim"": 32, ""mimo_rank"": 2}"
fine_tuned_models/accv2026_videomamba3_middle_complex_ucf101_112r_f2_d4_e3_fast_h200_epoch3,videomamba3_middle,complex,2,112,4,101,3,0.43359375,,,,,,"{""d_state"": 16, ""expand"": 1, ""headdim"": 32, ""mimo_rank"": 2}"
fine_tuned_models/accv2026_videomamba3_tiny_complex_ucf101_112r_f2_e1_h200,videomamba3_tiny,complex,2,112,24,101,1,0.5,0.5,2.9659729,2.32046509,2554.134,0.20045934,"{""d_state"": 16, ""expand"": 1, ""headdim"": 32, ""mimo_rank"": 2}"
fine_tuned_models/accv2026_videomamba3_tiny_complex_ucf101_112r_f2_e1_h200_epoch1,videomamba3_tiny,complex,2,112,24,101,1,0.5,,,,,,"{""d_state"": 16, ""expand"": 1, ""headdim"": 32, ""mimo_rank"": 2}"
fine_tuned_models/accv2026_videomamba3_tiny_complex_ucf101_h200_112_smoke,videomamba3_tiny,complex,2,112,24,101,1,1.0,,,,,,"{""d_state"": 16, ""expand"": 1, ""headdim"": 32, ""mimo_rank"": 2}"
fine_tuned_models/accv2026_videomamba3_tiny_complex_ucf101_h200_112_smoke_epoch1,videomamba3_tiny,complex,2,112,24,101,1,1.0,,,,,,"{""d_state"": 16, ""expand"": 1, ""headdim"": 32, ""mimo_rank"": 2}"
fine_tuned_models/accv2026_videomamba3_tiny_mimo_ucf101_112r_f2_e1_h200,videomamba3_tiny,mimo,2,112,24,101,1,0.296875,0.296875,2.90405273,2.73510742,2993.271,0.17105034,"{""d_state"": 16, ""expand"": 1, ""headdim"": 32, ""mimo_rank"": 2}"
fine_tuned_models/accv2026_videomamba3_tiny_mimo_ucf101_112r_f2_e1_h200_epoch1,videomamba3_tiny,mimo,2,112,24,101,1,0.296875,,,,,,"{""d_state"": 16, ""expand"": 1, ""headdim"": 32, ""mimo_rank"": 2}"
fine_tuned_models/accv2026_videomamba3_tiny_trapezoidal_ucf101_112r_f2_e1_h200,videomamba3_tiny,trapezoidal,2,112,24,101,1,0.3515625,0.3515625,2.91041565,2.33148193,1706.072,0.30010452,"{""d_state"": 16, ""expand"": 1, ""headdim"": 32, ""mimo_rank"": 2}"
fine_tuned_models/accv2026_videomamba3_tiny_trapezoidal_ucf101_112r_f2_e1_h200_epoch1,videomamba3_tiny,trapezoidal,2,112,24,101,1,0.3515625,,,,,,"{""d_state"": 16, ""expand"": 1, ""headdim"": 32, ""mimo_rank"": 2}"
