method,method_type,model,dataset,avg_frames,accuracy,note
AdaFocus†,literature,ResNet50,SSV2,8.0,0.547,"Wang et al. ICCV 2021, ~50% FLOPs"
AdaFocus†,literature,ResNet50,UCF101,8.0,0.936,Wang et al. ICCV 2021
AR-Net†,literature,ResNet50,SSV2,8.0,0.486,"Meng et al. ECCV 2020, adaptive resolution"
AR-Net†,literature,ResNet50,UCF101,8.0,0.917,"Meng et al. ECCV 2020, adaptive resolution"
E7-Entropy (ours),ours_e7,r3d_18,UCF101,4.071287128712871,0.8163366336633663,"τ=0.10, 99% cheap"
E7-Entropy (ours),ours_e7,r3d_18,SSV2,7.686106870229008,0.3462595419847328,"τ=0.50, 69% cheap"
E7-Entropy (ours),ours_e7,r3d_18,HMDB51,7.552542372881356,0.8022598870056498,"τ=0.60, 70% cheap"
E7-Entropy (ours),ours_e7,r3d_18,Diving48,7.262449528936743,0.2759084791386272,"τ=0.50, 73% cheap"
E7-Entropy (ours),ours_e7,r3d_18,Autsl,7.368039837030331,0.7329108193752829,"τ=0.65, 72% cheap"
E7-Entropy (ours),ours_e7,r3d_18,Driveact,7.910714285714286,0.6607142857142857,"τ=0.60, 67% cheap"
E7-Entropy (ours),ours_e7,r3d_18,Epic_Kitchens,7.823529411764706,0.3666666666666666,"τ=0.60, 68% cheap"
E7-Entropy (ours),ours_e7,mc3_18,UCF101,4.706930693069307,0.8559405940594059,"τ=0.25, 94% cheap"
E7-Entropy (ours),ours_e7,mc3_18,SSV2,7.909618320610687,0.3242748091603053,"τ=0.40, 67% cheap"
E7-Entropy (ours),ours_e7,mc3_18,HMDB51,6.901694915254238,0.7853107344632768,"τ=0.55, 76% cheap"
E7-Entropy (ours),ours_e7,mc3_18,Diving48,4.161507402422611,0.3176312247644683,"τ=0.15, 99% cheap"
E7-Entropy (ours),ours_e7,mc3_18,Autsl,7.658669081032142,0.6339972838388411,"τ=0.50, 70% cheap"
E7-Entropy (ours),ours_e7,mc3_18,Driveact,6.919642857142857,0.6941964285714286,"τ=0.45, 76% cheap"
E7-Entropy (ours),ours_e7,mc3_18,Epic_Kitchens,4.0,0.3647058823529411,"τ=0.10, 100% cheap"
E7-Entropy (ours),ours_e7,r2plus1d_18,UCF101,4.350495049504951,0.8900990099009901,"τ=0.30, 97% cheap"
E7-Entropy (ours),ours_e7,r2plus1d_18,SSV2,7.480916030534351,0.4076335877862595,"τ=0.55, 71% cheap"
E7-Entropy (ours),ours_e7,r2plus1d_18,HMDB51,6.901694915254238,0.7333333333333333,"τ=0.65, 76% cheap"
E7-Entropy (ours),ours_e7,r2plus1d_18,Diving48,7.06864064602961,0.3633916554508748,"τ=0.50, 74% cheap"
E7-Entropy (ours),ours_e7,r2plus1d_18,Autsl,7.905839746491625,0.7415119963784518,"τ=0.85, 67% cheap"
E7-Entropy (ours),ours_e7,r2plus1d_18,Driveact,6.383928571428571,0.5959821428571429,"τ=0.60, 80% cheap"
E7-Entropy (ours),ours_e7,r2plus1d_18,Epic_Kitchens,7.976470588235294,0.3480392156862745,"τ=0.50, 67% cheap"
E7-Entropy (ours),ours_e7,slowfast_r50,UCF101,4.166336633663367,0.8792079207920792,"τ=0.30, 99% cheap"
E7-Entropy (ours),ours_e7,slowfast_r50,SSV2,7.565190839694656,0.3499236641221374,"τ=0.30, 70% cheap"
E7-Entropy (ours),ours_e7,slowfast_r50,HMDB51,7.728813559322034,0.7627118644067796,"τ=0.75, 69% cheap"
E7-Entropy (ours),ours_e7,slowfast_r50,Diving48,7.730820995962315,0.4656796769851951,"τ=0.55, 69% cheap"
E7-Entropy (ours),ours_e7,slowfast_r50,Autsl,7.639655952919873,0.5952919873245812,"τ=0.30, 70% cheap"
E7-Entropy (ours),ours_e7,slowfast_r50,Driveact,7.883928571428571,0.6741071428571429,"τ=0.65, 68% cheap"
E7-Entropy (ours),ours_e7,slowfast_r50,Epic_Kitchens,7.623529411764705,0.3735294117647059,"τ=0.50, 70% cheap"
E7-Entropy (ours),ours_e7,timesformer,UCF101,4.873267326732673,0.9133663366336634,"τ=0.55, 93% cheap"
