resolution,coverage,stride,top1,n,model,dataset
48,10,1,0.059375,1600,r3d_18,finegym
48,10,2,0.04875,1600,r3d_18,finegym
48,10,4,0.043125,1600,r3d_18,finegym
48,10,8,0.04,1600,r3d_18,finegym
48,10,16,0.03875,1600,r3d_18,finegym
48,25,1,0.105,1600,r3d_18,finegym
48,25,2,0.0975,1600,r3d_18,finegym
48,25,4,0.07375,1600,r3d_18,finegym
48,25,8,0.045625,1600,r3d_18,finegym
48,25,16,0.0425,1600,r3d_18,finegym
48,50,1,0.27,1600,r3d_18,finegym
48,50,2,0.26375,1600,r3d_18,finegym
48,50,4,0.17,1600,r3d_18,finegym
48,50,8,0.09125,1600,r3d_18,finegym
48,50,16,0.054375,1600,r3d_18,finegym
48,75,1,0.460625,1600,r3d_18,finegym
48,75,2,0.410625,1600,r3d_18,finegym
48,75,4,0.28,1600,r3d_18,finegym
48,75,8,0.125625,1600,r3d_18,finegym
48,75,16,0.066875,1600,r3d_18,finegym
48,100,1,0.56375,1600,r3d_18,finegym
48,100,2,0.485,1600,r3d_18,finegym
48,100,4,0.336875,1600,r3d_18,finegym
48,100,8,0.154375,1600,r3d_18,finegym
48,100,16,0.0775,1600,r3d_18,finegym
96,10,1,0.086875,1600,r3d_18,finegym
96,10,2,0.068125,1600,r3d_18,finegym
96,10,4,0.055,1600,r3d_18,finegym
96,10,8,0.050625,1600,r3d_18,finegym
96,10,16,0.050625,1600,r3d_18,finegym
96,25,1,0.145625,1600,r3d_18,finegym
96,25,2,0.136875,1600,r3d_18,finegym
96,25,4,0.103125,1600,r3d_18,finegym
96,25,8,0.06375,1600,r3d_18,finegym
96,25,16,0.05375,1600,r3d_18,finegym
96,50,1,0.31125,1600,r3d_18,finegym
96,50,2,0.31875,1600,r3d_18,finegym
96,50,4,0.228125,1600,r3d_18,finegym
96,50,8,0.121875,1600,r3d_18,finegym
96,50,16,0.068125,1600,r3d_18,finegym
96,75,1,0.57875,1600,r3d_18,finegym
96,75,2,0.545,1600,r3d_18,finegym
96,75,4,0.3625,1600,r3d_18,finegym
96,75,8,0.169375,1600,r3d_18,finegym
96,75,16,0.09,1600,r3d_18,finegym
96,100,1,0.72625,1600,r3d_18,finegym
96,100,2,0.66,1600,r3d_18,finegym
96,100,4,0.460625,1600,r3d_18,finegym
96,100,8,0.19875,1600,r3d_18,finegym
96,100,16,0.11125,1600,r3d_18,finegym
112,10,1,0.07875,1600,r3d_18,finegym
112,10,2,0.0675,1600,r3d_18,finegym
112,10,4,0.05625,1600,r3d_18,finegym
112,10,8,0.0525,1600,r3d_18,finegym
112,10,16,0.0525,1600,r3d_18,finegym
112,25,1,0.14875,1600,r3d_18,finegym
112,25,2,0.13375,1600,r3d_18,finegym
112,25,4,0.11,1600,r3d_18,finegym
112,25,8,0.06625,1600,r3d_18,finegym
112,25,16,0.0525,1600,r3d_18,finegym
112,50,1,0.325,1600,r3d_18,finegym
112,50,2,0.346875,1600,r3d_18,finegym
112,50,4,0.23375,1600,r3d_18,finegym
112,50,8,0.11125,1600,r3d_18,finegym
112,50,16,0.069375,1600,r3d_18,finegym
112,75,1,0.59125,1600,r3d_18,finegym
112,75,2,0.565,1600,r3d_18,finegym
112,75,4,0.383125,1600,r3d_18,finegym
112,75,8,0.155,1600,r3d_18,finegym
112,75,16,0.088125,1600,r3d_18,finegym
112,100,1,0.715,1600,r3d_18,finegym
112,100,2,0.665625,1600,r3d_18,finegym
112,100,4,0.491875,1600,r3d_18,finegym
112,100,8,0.20375,1600,r3d_18,finegym
112,100,16,0.10125,1600,r3d_18,finegym
160,10,1,0.07625,1600,r3d_18,finegym
160,10,2,0.06375,1600,r3d_18,finegym
160,10,4,0.05625,1600,r3d_18,finegym
160,10,8,0.053125,1600,r3d_18,finegym
160,10,16,0.053125,1600,r3d_18,finegym
160,25,1,0.16375,1600,r3d_18,finegym
160,25,2,0.14125,1600,r3d_18,finegym
160,25,4,0.100625,1600,r3d_18,finegym
160,25,8,0.07,1600,r3d_18,finegym
160,25,16,0.053125,1600,r3d_18,finegym
160,50,1,0.335625,1600,r3d_18,finegym
160,50,2,0.350625,1600,r3d_18,finegym
160,50,4,0.240625,1600,r3d_18,finegym
160,50,8,0.1075,1600,r3d_18,finegym
160,50,16,0.06625,1600,r3d_18,finegym
160,75,1,0.604375,1600,r3d_18,finegym
160,75,2,0.561875,1600,r3d_18,finegym
160,75,4,0.335625,1600,r3d_18,finegym
160,75,8,0.15625,1600,r3d_18,finegym
160,75,16,0.08125,1600,r3d_18,finegym
160,100,1,0.74875,1600,r3d_18,finegym
160,100,2,0.6875,1600,r3d_18,finegym
160,100,4,0.464375,1600,r3d_18,finegym
160,100,8,0.195,1600,r3d_18,finegym
160,100,16,0.103125,1600,r3d_18,finegym
224,10,1,0.07375,1600,r3d_18,finegym
224,10,2,0.066875,1600,r3d_18,finegym
224,10,4,0.0575,1600,r3d_18,finegym
224,10,8,0.054375,1600,r3d_18,finegym
224,10,16,0.054375,1600,r3d_18,finegym
224,25,1,0.151875,1600,r3d_18,finegym
224,25,2,0.140625,1600,r3d_18,finegym
224,25,4,0.10625,1600,r3d_18,finegym
224,25,8,0.059375,1600,r3d_18,finegym
224,25,16,0.055,1600,r3d_18,finegym
224,50,1,0.336875,1600,r3d_18,finegym
224,50,2,0.363125,1600,r3d_18,finegym
224,50,4,0.23125,1600,r3d_18,finegym
224,50,8,0.1075,1600,r3d_18,finegym
224,50,16,0.06125,1600,r3d_18,finegym
224,75,1,0.614375,1600,r3d_18,finegym
224,75,2,0.540625,1600,r3d_18,finegym
224,75,4,0.335625,1600,r3d_18,finegym
