resolution,coverage,stride,top1,n
112,10,1,0.089375,1600
112,10,2,0.07875,1600
112,10,4,0.069375,1600
112,10,8,0.06625,1600
112,10,16,0.06625,1600
112,25,1,0.154375,1600
112,25,2,0.1625,1600
112,25,4,0.14,1600
112,25,8,0.08875,1600
112,25,16,0.0675,1600
112,50,1,0.378125,1600
112,50,2,0.373125,1600
112,50,4,0.330625,1600
112,50,8,0.2125,1600
112,50,16,0.123125,1600
112,75,1,0.538125,1600
112,75,2,0.53625,1600
112,75,4,0.494375,1600
112,75,8,0.371875,1600
112,75,16,0.201875,1600
112,100,1,0.580625,1600
112,100,2,0.575,1600
112,100,4,0.553125,1600
112,100,8,0.438125,1600
112,100,16,0.245,1600
