resolution,coverage,stride,top1,n
112,10,1,0.070625,1600
112,10,2,0.064375,1600
112,10,4,0.0575,1600
112,10,8,0.05,1600
112,10,16,0.04875,1600
112,25,1,0.148125,1600
112,25,2,0.14875,1600
112,25,4,0.095625,1600
112,25,8,0.064375,1600
112,25,16,0.050625,1600
112,50,1,0.440625,1600
112,50,2,0.294375,1600
112,50,4,0.13875,1600
112,50,8,0.078125,1600
112,50,16,0.059375,1600
112,75,1,0.60375,1600
112,75,2,0.408125,1600
112,75,4,0.179375,1600
112,75,8,0.091875,1600
112,75,16,0.064375,1600
112,100,1,0.695625,1600
112,100,2,0.49,1600
112,100,4,0.204375,1600
112,100,8,0.0975,1600
112,100,16,0.08125,1600
