class,coverage,stride,accuracy,n_samples
abseiling,10,1,0.620000,50
air drumming,10,1,0.387755,49
answering questions,10,1,0.160000,50
applauding,10,1,0.320000,50
applying cream,10,1,0.480000,50
archery,10,1,0.680000,50
arm wrestling,10,1,0.734694,49
arranging flowers,10,1,0.840000,50
assembling computer,10,1,0.960000,50
auctioning,10,1,0.640000,50
baby waking up,10,1,0.760000,50
baking cookies,10,1,0.530612,49
balloon blowing,10,1,0.775510,49
bandaging,10,1,0.600000,50
barbequing,10,1,0.580000,50
bartending,10,1,0.900000,50
beatboxing,10,1,0.367347,49
bee keeping,10,1,0.780000,50
belly dancing,10,1,0.775510,49
bench pressing,10,1,0.860000,50
bending back,10,1,0.270833,48
bending metal,10,1,0.340000,50
biking through snow,10,1,0.660000,50
blasting sand,10,1,0.640000,50
blowing glass,10,1,0.840000,50
blowing leaves,10,1,0.571429,49
blowing nose,10,1,0.360000,50
blowing out candles,10,1,0.836735,49
bobsledding,10,1,0.620000,50
bookbinding,10,1,0.760000,50
bouncing on trampoline,10,1,0.800000,50
bowling,10,1,0.897959,49
braiding hair,10,1,0.693878,49
breading or breadcrumbing,10,1,0.530612,49
breakdancing,10,1,0.300000,50
brush painting,10,1,0.645833,48
brushing hair,10,1,0.440000,50
brushing teeth,10,1,0.680000,50
building cabinet,10,1,0.600000,50
building shed,10,1,0.740000,50
bungee jumping,10,1,0.800000,50
busking,10,1,0.700000,50
canoeing or kayaking,10,1,0.780000,50
capoeira,10,1,0.740000,50
carrying baby,10,1,0.729167,48
cartwheeling,10,1,0.240000,50
carving pumpkin,10,1,0.833333,48
catching fish,10,1,0.520833,48
catching or throwing baseball,10,1,0.280000,50
catching or throwing frisbee,10,1,0.420000,50
catching or throwing softball,10,1,0.520000,50
celebrating,10,1,0.460000,50
changing oil,10,1,0.780000,50
changing wheel,10,1,0.520000,50
checking tires,10,1,0.720000,50
cheerleading,10,1,0.836735,49
chopping wood,10,1,0.775510,49
clapping,10,1,0.312500,48
clay pottery making,10,1,0.800000,50
clean and jerk,10,1,0.714286,49
cleaning floor,10,1,0.530612,49
cleaning gutters,10,1,0.660000,50
cleaning pool,10,1,0.720000,50
cleaning shoes,10,1,0.551020,49
cleaning toilet,10,1,0.720000,50
cleaning windows,10,1,0.620000,50
climbing a rope,10,1,0.580000,50
climbing ladder,10,1,0.620000,50
climbing tree,10,1,0.640000,50
contact juggling,10,1,0.640000,50
cooking chicken,10,1,0.600000,50
cooking egg,10,1,0.380000,50
cooking on campfire,10,1,0.708333,48
cooking sausages,10,1,0.360000,50
counting money,10,1,0.571429,49
country line dancing,10,1,0.640000,50
cracking neck,10,1,0.208333,48
crawling baby,10,1,0.820000,50
crossing river,10,1,0.860000,50
crying,10,1,0.367347,49
curling hair,10,1,0.836735,49
cutting nails,10,1,0.574468,47
cutting pineapple,10,1,0.860000,50
cutting watermelon,10,1,0.808511,47
dancing ballet,10,1,0.820000,50
dancing charleston,10,1,0.367347,49
dancing gangnam style,10,1,0.291667,48
dancing macarena,10,1,0.367347,49
deadlifting,10,1,0.775510,49
decorating the christmas tree,10,1,0.795918,49
digging,10,1,0.500000,50
dining,10,1,0.520000,50
disc golfing,10,1,0.560000,50
diving cliff,10,1,0.673469,49
dodgeball,10,1,0.540000,50
doing aerobics,10,1,0.500000,50
doing laundry,10,1,0.580000,50
doing nails,10,1,0.812500,48
drawing,10,1,0.666667,48
dribbling basketball,10,1,0.720000,50
drinking,10,1,0.224490,49
drinking beer,10,1,0.340000,50
drinking shots,10,1,0.081633,49
driving car,10,1,0.645833,48
driving tractor,10,1,0.653061,49
drop kicking,10,1,0.191489,47
drumming fingers,10,1,0.640000,50
dunking basketball,10,1,0.333333,48
dying hair,10,1,0.659574,47
eating burger,10,1,0.591837,49
eating cake,10,1,0.440000,50
eating carrots,10,1,0.583333,48
eating chips,10,1,0.280000,50
eating doughnuts,10,1,0.122449,49
eating hotdog,10,1,0.300000,50
eating ice cream,10,1,0.480000,50
eating spaghetti,10,1,0.795918,49
eating watermelon,10,1,0.600000,50
egg hunting,10,1,0.420000,50
exercising arm,10,1,0.306122,49
exercising with an exercise ball,10,1,0.687500,48
extinguishing fire,10,1,0.714286,49
faceplanting,10,1,0.102041,49
feeding birds,10,1,0.800000,50
feeding fish,10,1,0.816327,49
feeding goats,10,1,0.860000,50
filling eyebrows,10,1,0.877551,49
finger snapping,10,1,0.360000,50
fixing hair,10,1,0.183673,49
flipping pancake,10,1,0.653061,49
flying kite,10,1,0.620000,50
folding clothes,10,1,0.448980,49
folding napkins,10,1,0.673469,49
folding paper,10,1,0.612245,49
front raises,10,1,0.760000,50
frying vegetables,10,1,0.680000,50
garbage collecting,10,1,0.489796,49
gargling,10,1,0.387755,49
getting a haircut,10,1,0.632653,49
getting a tattoo,10,1,0.836735,49
giving or receiving award,10,1,0.500000,50
golf chipping,10,1,0.560000,50
golf driving,10,1,0.660000,50
golf putting,10,1,0.795918,49
grinding meat,10,1,0.940000,50
grooming dog,10,1,0.740000,50
grooming horse,10,1,0.795918,49
gymnastics tumbling,10,1,0.775510,49
hammer throw,10,1,0.700000,50
headbanging,10,1,0.530612,49
headbutting,10,1,0.060000,50
high jump,10,1,0.640000,50
high kick,10,1,0.220000,50
hitting baseball,10,1,0.820000,50
hockey stop,10,1,0.380000,50
holding snake,10,1,0.520000,50
hopscotch,10,1,0.820000,50
hoverboarding,10,1,0.666667,48
hugging,10,1,0.081633,49
hula hooping,10,1,0.755102,49
hurdling,10,1,0.720000,50
hurling (sport),10,1,0.820000,50
ice climbing,10,1,0.840000,50
ice fishing,10,1,0.854167,48
ice skating,10,1,0.720000,50
ironing,10,1,0.750000,48
javelin throw,10,1,0.580000,50
jetskiing,10,1,0.700000,50
jogging,10,1,0.200000,50
juggling balls,10,1,0.653061,49
juggling fire,10,1,0.700000,50
juggling soccer ball,10,1,0.620000,50
jumping into pool,10,1,0.800000,50
jumpstyle dancing,10,1,0.448980,49
kicking field goal,10,1,0.820000,50
kicking soccer ball,10,1,0.460000,50
kissing,10,1,0.521739,46
kitesurfing,10,1,0.740000,50
knitting,10,1,0.860000,50
krumping,10,1,0.530612,49
laughing,10,1,0.479167,48
laying bricks,10,1,0.734694,49
long jump,10,1,0.500000,50
lunge,10,1,0.340000,50
making a cake,10,1,0.306122,49
making a sandwich,10,1,0.440000,50
making bed,10,1,0.740000,50
making jewelry,10,1,0.673469,49
making pizza,10,1,0.680000,50
making snowman,10,1,0.880000,50
making sushi,10,1,0.700000,50
making tea,10,1,0.420000,50
marching,10,1,0.940000,50
massaging back,10,1,0.755102,49
massaging feet,10,1,0.428571,49
massaging legs,10,1,0.612245,49
massaging person's head,10,1,0.580000,50
milking cow,10,1,0.895833,48
mopping floor,10,1,0.580000,50
motorcycling,10,1,0.693878,49
moving furniture,10,1,0.420000,50
mowing lawn,10,1,0.780000,50
news anchoring,10,1,0.640000,50
opening bottle,10,1,0.520000,50
opening present,10,1,0.640000,50
paragliding,10,1,0.900000,50
parasailing,10,1,0.760000,50
parkour,10,1,0.270833,48
passing American football (in game),10,1,0.720000,50
passing American football (not in game),10,1,0.428571,49
peeling apples,10,1,0.660000,50
peeling potatoes,10,1,0.500000,50
petting animal (not cat),10,1,0.408163,49
petting cat,10,1,0.820000,50
picking fruit,10,1,0.693878,49
planting trees,10,1,0.632653,49
plastering,10,1,0.440000,50
playing accordion,10,1,0.816327,49
playing badminton,10,1,0.760000,50
playing bagpipes,10,1,0.700000,50
playing basketball,10,1,0.380000,50
playing bass guitar,10,1,0.820000,50
playing cards,10,1,0.680000,50
playing cello,10,1,0.920000,50
playing chess,10,1,0.860000,50
playing clarinet,10,1,0.760000,50
playing controller,10,1,0.820000,50
playing cricket,10,1,0.673469,49
playing cymbals,10,1,0.820000,50
playing didgeridoo,10,1,0.860000,50
playing drums,10,1,0.897959,49
playing flute,10,1,0.620000,50
playing guitar,10,1,0.580000,50
playing harmonica,10,1,0.571429,49
playing harp,10,1,0.980000,50
playing ice hockey,10,1,0.816327,49
playing keyboard,10,1,0.708333,48
playing kickball,10,1,0.620000,50
playing monopoly,10,1,0.680000,50
playing organ,10,1,0.800000,50
playing paintball,10,1,0.900000,50
playing piano,10,1,0.640000,50
playing poker,10,1,0.734694,49
playing recorder,10,1,0.720000,50
playing saxophone,10,1,0.740000,50
playing squash or racquetball,10,1,0.960000,50
playing tennis,10,1,0.857143,49
playing trombone,10,1,0.693878,49
playing trumpet,10,1,0.734694,49
playing ukulele,10,1,0.920000,50
playing violin,10,1,0.660000,50
playing volleyball,10,1,0.729167,48
playing xylophone,10,1,0.700000,50
pole vault,10,1,0.580000,50
presenting weather forecast,10,1,0.860000,50
pull ups,10,1,0.740000,50
pumping fist,10,1,0.260000,50
pumping gas,10,1,0.750000,48
punching bag,10,1,0.800000,50
punching person (boxing),10,1,0.489796,49
push up,10,1,0.708333,48
pushing car,10,1,0.620000,50
pushing cart,10,1,0.700000,50
pushing wheelchair,10,1,0.580000,50
reading book,10,1,0.780000,50
reading newspaper,10,1,0.580000,50
recording music,10,1,0.260000,50
riding a bike,10,1,0.520833,48
riding camel,10,1,0.840000,50
riding elephant,10,1,0.800000,50
riding mechanical bull,10,1,0.897959,49
riding mountain bike,10,1,0.591837,49
riding mule,10,1,0.680000,50
riding or walking with horse,10,1,0.625000,48
riding scooter,10,1,0.540000,50
riding unicycle,10,1,0.600000,50
ripping paper,10,1,0.320000,50
robot dancing,10,1,0.380000,50
rock climbing,10,1,0.780000,50
rock scissors paper,10,1,0.160000,50
roller skating,10,1,0.720000,50
running on treadmill,10,1,0.750000,48
sailing,10,1,0.959184,49
salsa dancing,10,1,0.408163,49
sanding floor,10,1,0.800000,50
scrambling eggs,10,1,0.440000,50
scuba diving,10,1,0.840000,50
setting table,10,1,0.653061,49
shaking hands,10,1,0.187500,48
shaking head,10,1,0.300000,50
sharpening knives,10,1,0.620000,50
sharpening pencil,10,1,0.640000,50
shaving head,10,1,0.520000,50
shaving legs,10,1,0.440000,50
shearing sheep,10,1,0.979592,49
shining shoes,10,1,0.700000,50
shooting basketball,10,1,0.280000,50
shooting goal (soccer),10,1,0.448980,49
shot put,10,1,0.720000,50
shoveling snow,10,1,0.840000,50
shredding paper,10,1,0.580000,50
shuffling cards,10,1,0.693878,49
side kick,10,1,0.660000,50
sign language interpreting,10,1,0.437500,48
singing,10,1,0.460000,50
situp,10,1,0.520000,50
skateboarding,10,1,0.780000,50
ski jumping,10,1,0.480000,50
skiing (not slalom or crosscountry),10,1,0.510204,49
skiing crosscountry,10,1,0.760000,50
skiing slalom,10,1,0.640000,50
skipping rope,10,1,0.640000,50
skydiving,10,1,0.680000,50
slacklining,10,1,0.693878,49
slapping,10,1,0.061224,49
sled dog racing,10,1,0.860000,50
smoking,10,1,0.408163,49
smoking hookah,10,1,0.571429,49
snatch weight lifting,10,1,0.571429,49
