Model,Dataset,Acc@4f,Acc@8f,Acc@16f,Acc@32f
R3D-18,SSv2,9.8,19.7,37.1,36.9
MC3-18,SSv2,8.2,18.8,33.6,34.5
R(2+1)D-18,SSv2,12.6,24.3,42.6,42.1
SlowFast-R50,SSv2,6.6,15.2,33.3,49.5
TimeSformer,SSv2,31.8,42.3,41.3,41.7
ViViT,SSv2,8.4,17.5,30.5,38.3
VideoMAE,SSv2,21.0,39.5,52.3,51.9
VideoMamba,SSv2,31.8,43.9,44.4,44.2
R3D-18,UCF-101,59.5,72.6,81.2,81.4
MC3-18,UCF-101,72.9,80.9,85.4,85.1
R(2+1)D-18,UCF-101,70.0,81.6,88.6,89.0
SlowFast-R50,UCF-101,50.1,66.2,81.3,87.6
TimeSformer,UCF-101,90.0,91.0,91.2,90.9
ViViT,UCF-101,75.3,86.9,92.5,94.3
VideoMAE,UCF-101,81.4,91.4,95.4,95.5
VideoMamba,UCF-101,85.0,88.4,88.2,87.8
R3D-18,HMDB-51,49.2,67.1,80.3,80.1
MC3-18,HMDB-51,63.5,71.2,78.6,78.2
R(2+1)D-18,HMDB-51,46.2,63.2,73.1,74.6
SlowFast-R50,HMDB-51,35.1,44.7,65.1,79.3
TimeSformer,HMDB-51,73.0,79.9,80.0,79.8
ViViT,HMDB-51,52.4,66.1,75.4,80.2
VideoMAE,HMDB-51,51.5,73.6,84.0,84.4
VideoMamba,HMDB-51,61.7,69.8,68.6,69.7
R3D-18,DriveAct,47.8,56.2,68.3,67.2
MC3-18,DriveAct,55.1,65.8,69.0,68.5
R(2+1)D-18,DriveAct,37.7,49.8,62.5,61.8
SlowFast-R50,DriveAct,42.6,53.3,66.7,72.5
TimeSformer,DriveAct,64.7,67.6,68.8,66.5
ViViT,DriveAct,48.9,55.8,62.5,67.4
VideoMAE,DriveAct,40.2,56.0,74.1,72.5
VideoMamba,DriveAct,50.9,57.8,58.0,56.7
R3D-18,Diving-48,5.9,14.4,28.8,28.8
MC3-18,Diving-48,8.2,19.5,31.6,33.4
R(2+1)D-18,Diving-48,8.6,16.8,35.3,34.7
SlowFast-R50,Diving-48,5.8,14.5,26.4,50.5
TimeSformer,Diving-48,23.6,38.0,36.9,38.0
ViViT,Diving-48,7.9,19.9,35.1,53.0
VideoMAE,Diving-48,8.6,27.6,48.6,49.9
VideoMamba,Diving-48,18.2,36.3,33.0,31.4
R3D-18,AUTSL,4.7,24.5,75.0,74.4
MC3-18,AUTSL,4.1,37.5,63.7,63.7
R(2+1)D-18,AUTSL,8.4,30.2,75.9,75.0
SlowFast-R50,AUTSL,1.6,12.7,41.8,82.3
TimeSformer,AUTSL,52.0,66.8,66.2,67.0
ViViT,AUTSL,8.4,25.5,61.2,74.6
VideoMAE,AUTSL,17.7,43.2,79.5,78.9
VideoMamba,AUTSL,0.4,0.4,0.4,0.4
R3D-18,EPIC-Kitchens,13.6,22.3,37.2,37.0
MC3-18,EPIC-Kitchens,11.3,27.1,36.2,37.2
R(2+1)D-18,EPIC-Kitchens,13.0,20.2,35.5,35.2
SlowFast-R50,EPIC-Kitchens,9.2,15.8,27.2,39.4
TimeSformer,EPIC-Kitchens,19.5,32.3,31.5,31.0
ViViT,EPIC-Kitchens,10.3,21.1,26.9,32.9
VideoMAE,EPIC-Kitchens,13.4,28.3,37.7,37.5
VideoMamba,EPIC-Kitchens,23.2,28.3,28.2,28.4
