Model,Dataset,Best_Acc,Critical_Budget,Temporal_AUC
R3D-18,SSv2,37.1,16,0.3138
MC3-18,SSv2,34.5,16,0.2887
R(2+1)D-18,SSv2,42.6,16,0.3639
SlowFast-R50,SSv2,49.5,32,0.3216
TimeSformer,SSv2,42.3,8,0.4095
ViViT,SSv2,38.3,32,0.2838
VideoMAE,SSv2,52.3,16,0.4722
VideoMamba,SSv2,44.4,8,0.4332
R3D-18,UCF-101,81.4,16,0.7789
MC3-18,UCF-101,85.4,16,0.8345
R(2+1)D-18,UCF-101,89.0,16,0.8588
SlowFast-R50,UCF-101,87.6,32,0.7763
TimeSformer,UCF-101,91.2,4,0.9099
ViViT,UCF-101,94.3,16,0.9057
VideoMAE,UCF-101,95.5,8,0.936
VideoMamba,UCF-101,88.4,4,0.8791
R3D-18,HMDB-51,80.3,16,0.7521
MC3-18,HMDB-51,78.6,16,0.7584
R(2+1)D-18,HMDB-51,74.6,16,0.6948
SlowFast-R50,HMDB-51,79.3,32,0.6266
TimeSformer,HMDB-51,80.0,8,0.7941
ViViT,HMDB-51,80.2,32,0.7313
VideoMAE,HMDB-51,84.4,16,0.7954
VideoMamba,HMDB-51,69.8,8,0.6868
R3D-18,DriveAct,68.3,16,0.6393
MC3-18,DriveAct,69.0,8,0.6719
R(2+1)D-18,DriveAct,62.5,16,0.5781
SlowFast-R50,DriveAct,72.5,32,0.6381
TimeSformer,DriveAct,68.8,8,0.6759
ViViT,DriveAct,67.4,32,0.615
VideoMAE,DriveAct,74.1,16,0.6736
VideoMamba,DriveAct,58.0,8,0.571
R3D-18,Diving-48,28.8,16,0.2408
MC3-18,Diving-48,33.4,32,0.2786
R(2+1)D-18,Diving-48,35.3,16,0.2925
SlowFast-R50,Diving-48,50.5,32,0.2925
TimeSformer,Diving-48,38.0,8,0.3646
ViViT,Diving-48,53.0,32,0.3504
VideoMAE,Diving-48,49.9,16,0.4162
VideoMamba,Diving-48,36.3,8,0.3218
R3D-18,AUTSL,75.0,16,0.5898
MC3-18,AUTSL,63.7,16,0.5386
R(2+1)D-18,AUTSL,75.9,16,0.6105
SlowFast-R50,AUTSL,82.3,32,0.4425
TimeSformer,AUTSL,67.0,8,0.6553
ViViT,AUTSL,74.6,32,0.5362
VideoMAE,AUTSL,79.5,16,0.6714
VideoMamba,AUTSL,0.4,4,0.0043
R3D-18,EPIC-Kitchens,37.2,16,0.3223
MC3-18,EPIC-Kitchens,37.2,16,0.3272
R(2+1)D-18,EPIC-Kitchens,35.5,16,0.3053
SlowFast-R50,EPIC-Kitchens,39.4,32,0.2694
TimeSformer,EPIC-Kitchens,32.3,8,0.3064
ViViT,EPIC-Kitchens,32.9,32,0.2618
VideoMAE,EPIC-Kitchens,37.7,16,0.3391
VideoMamba,EPIC-Kitchens,28.4,8,0.2796
