Model,Dataset,Fixed-16f,Adaptive Acc,Avg Frames,Δ Acc,Frame Save
R3D-18,SSV2,37.1%,34.6%,15.5,-2.5%,+0.5f
MC3-18,SSV2,33.6%,31.2%,15.5,-2.4%,+0.5f
R(2+1)D-18,SSV2,42.6%,39.5%,15.5,-3.1%,+0.5f
TimeSformer,SSV2,41.3%,41.6%,9.2,+0.3%,+6.8f
ViViT,SSV2,30.5%,28.8%,15.5,-1.8%,+0.5f
SlowFast,SSV2,33.3%,42.8%,27.0,+9.5%,-11.0f
R(2+1)D-18,UCF101,88.6%,89.6%,15.2,+1.0%,+0.8f
R(2+1)D-18,HMDB51,73.1%,70.9%,14.2,-2.2%,+1.8f
R(2+1)D-18,Diving48,35.3%,32.4%,15.5,-2.9%,+0.5f
VideoMAE,UCF101,95.4%,95.0%,13.2,-0.4%,+2.8f
VideoMAE,HMDB51,84.0%,82.2%,15.9,-1.8%,+0.1f
VideoMAE,Diving48,48.6%,43.0%,15.5,-5.6%,+0.5f
