model,resolution,mean_ms,std_ms,gpu,backend,n_frames
r3d_18,48,1.122,0.005,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition,torchvision,16
r3d_18,96,1.609,0.005,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition,torchvision,16
r3d_18,112,1.79,0.005,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition,torchvision,16
r3d_18,160,3.026,0.035,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition,torchvision,16
r3d_18,224,5.612,0.043,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition,torchvision,16
mc3_18,48,0.988,0.005,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition,torchvision,16
mc3_18,96,1.472,0.006,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition,torchvision,16
mc3_18,112,1.642,0.005,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition,torchvision,16
mc3_18,160,2.947,0.033,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition,torchvision,16
mc3_18,224,5.698,0.049,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition,torchvision,16
r2plus1d_18,48,1.787,0.008,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition,torchvision,16
r2plus1d_18,96,2.813,0.006,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition,torchvision,16
r2plus1d_18,112,3.278,0.006,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition,torchvision,16
r2plus1d_18,160,5.371,0.04,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition,torchvision,16
r2plus1d_18,224,10.449,0.032,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition,torchvision,16
slowfast_r50,48,2.833,0.047,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition,slowfast,32
slowfast_r50,96,2.82,0.006,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition,slowfast,32
slowfast_r50,112,2.999,0.05,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition,slowfast,32
slowfast_r50,160,3.921,0.007,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition,slowfast,32
slowfast_r50,224,5.823,0.008,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition,slowfast,32
timesformer,48,2.848,0.016,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition,huggingface,8
timesformer,96,4.769,0.014,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition,huggingface,8
timesformer,112,5.781,0.04,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition,huggingface,8
timesformer,160,9.43,0.045,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition,huggingface,8
timesformer,224,15.123,0.025,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition,huggingface,8
vivit,48,2.449,0.007,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition,huggingface,32
vivit,96,6.071,0.062,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition,huggingface,32
vivit,112,7.785,0.037,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition,huggingface,32
vivit,160,14.008,0.02,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition,huggingface,32
vivit,224,31.051,0.051,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition,huggingface,32
videomae,48,1.694,0.004,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition,huggingface,16
videomae,96,3.699,0.021,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition,huggingface,16
videomae,112,4.4,0.027,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition,huggingface,16
videomae,160,7.474,0.033,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition,huggingface,16
videomae,224,13.056,0.031,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition,huggingface,16
videomamba,48,9.727,0.056,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition,videomamba,8
videomamba,96,9.954,0.088,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition,videomamba,8
videomamba,112,9.873,0.097,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition,videomamba,8
videomamba,160,10.582,0.012,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition,videomamba,8
videomamba,224,15.948,0.016,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition,videomamba,8
