dataset,display,character,model,tds_mean,tds_std,n_videos,critical_frame_budget,temporal_robustness_auc,best_accuracy
ssv2_r2p1d,SSV2,temporal,R(2+1)D,0.0711426767961532,0.0450210363604065,3464,16,0.3639476553980371,0.4256488549618321
ssv2_videomae,SSV2,temporal,VideoMAE,0.0711426767961532,0.0450210363604065,3464,16,0.4722355507088331,0.5233587786259541
ucf101_r2p1d,UCF101,appearance-biased,R(2+1)D,0.0522038650811886,0.03859757040147,500,16,0.8588048090523338,0.8900990099009901
hmdb51_r2p1d,HMDB51,mixed,R(2+1)D,0.0573473923950842,0.0435968658948812,499,16,0.6947538337368846,0.7457627118644068
diving48_r2p1d,Diving48,temporal,R(2+1)D,0.0804716097962622,0.0543944774459994,500,16,0.2925398961738127,0.3526244952893674
ucf101_videomae,UCF101,appearance-biased,VideoMAE,0.0522038650811886,0.03859757040147,500,8,0.936032531824611,0.9554455445544554
hmdb51_videomae,HMDB51,mixed,VideoMAE,0.0573473923950842,0.0435968658948812,499,16,0.7953995157384988,0.8440677966101695
diving48_videomae,Diving48,temporal,VideoMAE,0.0804716097962622,0.0543944774459994,500,16,0.4161699673139781,0.4993270524899058
wlasl_videomae,WLASL,temporal,VideoMAE,0.016456209130985,0.0141569529131723,495,16,0.0363907718916505,0.0435461823862526
epic_videomae,EPIC-Kitchens,temporal,VideoMAE,0.0684833290249693,0.0305437681263737,500,16,0.5155341183146546,0.6047666335650447
