label_id,class_fde_mean,class_fde_std,n_videos,class_name,auc,critical_frame_budget
0,0.08795535816865804,0.05178802099738518,20,Approaching something with your camera,0.4571428571428572,16
1,0.05568087708716294,0.022447782636703627,20,Attaching something to something,0.2023809523809523,32
2,0.0730662506701899,0.03802315927592076,20,Bending something so that it deforms,0.3082706766917293,16
3,0.08637312346813722,0.05101704588465117,20,Bending something until it breaks,0.2857142857142857,16
4,0.10458462584252445,0.06011656790782974,20,Burying something in something,0.2030075187969924,16
5,0.09230533375459554,0.0547171119402423,20,Closing something,0.1892857142857142,32
6,0.06972984164368867,0.04794450585984892,20,Covering something with something,0.6607142857142857,16
7,0.12019261977251834,0.06107608399628121,20,Digging something out of something,0.3872180451127819,32
8,0.059505866555606565,0.04736803512188511,20,Dropping something behind something,0.6214285714285713,16
9,0.05063605813419114,0.04090549117907688,20,Dropping something in front of something,0.4285714285714285,32
10,0.06314159916896442,0.04302094652827731,20,Dropping something into something,0.2714285714285714,16
11,0.03001185996859677,0.01850715748580653,20,Dropping something next to something,0.6749999999999999,32
12,0.05462139054840681,0.042819973997491885,20,Dropping something onto something,0.1992481203007518,16
13,0.10372077493106613,0.05074709329958908,20,Failing to put something into something because something does not fit,0.2178571428571428,16
14,0.08428270526960781,0.034125382671392465,20,Folding something,0.5300751879699248,16
15,0.08058836693857226,0.0661910453015333,20,Hitting something with something,0.3045112781954887,32
16,0.04979404823452814,0.0378791908162309,20,Holding something,0.5678571428571428,16
17,0.04410644531249995,0.0326875784340012,20,Holding something behind something,0.3428571428571428,4
18,0.04952949075137862,0.027216308860520767,20,Holding something in front of something,0.3157894736842105,32
19,0.03962381998697912,0.033860518521934106,20,Holding something next to something,0.5864661654135339,8
20,0.05276906929764088,0.032146911301535346,20,Holding something over something,0.0912698412698412,4
21,0.08117694929534311,0.04025901692517843,20,"Laying something on the table on its side, not upright",0.225,32
22,0.05813763786764701,0.033465554183440695,20,Letting something roll along a flat surface,0.2857142857142857,32
23,0.05781677246093745,0.05293618433854641,20,Letting something roll down a slanted surface,0.3892857142857142,16
24,0.07172459022671565,0.03212497579117274,20,"Letting something roll up a slanted surface, so it rolls back down",0.3421052631578947,16
25,0.0487243715331527,0.033375855057575385,19,Lifting a surface with something on it but not enough for it to slide down,0.244360902255639,16
