resolution,coverage,stride,top1,n
224,10,1,0.0525,1600
224,10,2,0.04875,1600
224,10,4,0.04875,1600
224,10,8,0.043125,1600
224,10,16,0.04375,1600
224,25,1,0.109375,1600
224,25,2,0.11375,1600
224,25,4,0.080625,1600
224,25,8,0.06,1600
224,25,16,0.053125,1600
224,50,1,0.33875,1600
224,50,2,0.35125,1600
224,50,4,0.2525,1600
224,50,8,0.12,1600
224,50,16,0.07125,1600
224,75,1,0.63125,1600
224,75,2,0.595625,1600
224,75,4,0.4225,1600
224,75,8,0.184375,1600
224,75,16,0.088125,1600
224,100,1,0.78,1600
224,100,2,0.739375,1600
224,100,4,0.566875,1600
224,100,8,0.278125,1600
224,100,16,0.101875,1600
