method,avg_frames,accuracy,type,vs_fixed,budget_dist,model,dataset,eval_dir
Fixed-4f,4.0,0.12580152671755726,fixed,,,R2plus1D-18,SSV2,r2plus1d_18_ssv2_full_e10_a100
Fixed-8f,8.0,0.2433587786259542,fixed,,,R2plus1D-18,SSV2,r2plus1d_18_ssv2_full_e10_a100
Fixed-16f,16.0,0.4256488549618321,fixed,,,R2plus1D-18,SSV2,r2plus1d_18_ssv2_full_e10_a100
Fixed-32f,32.0,0.4213740458015267,fixed,,,R2plus1D-18,SSV2,r2plus1d_18_ssv2_full_e10_a100
Knapsack-proxy@avg8f,8.0,0.21618320610687022,knapsack_proxy,-0.02717557251908398,"{'4': 1668, '8': 773, '16': 834, '32': 0}",R2plus1D-18,SSV2,r2plus1d_18_ssv2_full_e10_a100
Knapsack-learned@avg8f,8.0,0.24122137404580152,knapsack_learned,-0.0021374045801526853,"{'4': 232, '8': 307, '16': 116, '32': 0}",R2plus1D-18,SSV2,r2plus1d_18_ssv2_full_e10_a100
Oracle-knapsack@avg8f,8.0,0.3145038167938931,oracle_knapsack,0.0711450381679389,"{'4': 482, '8': 90, '16': 4, '32': 79}",R2plus1D-18,SSV2,r2plus1d_18_ssv2_full_e10_a100
Knapsack-proxy@avg10f,9.9993893129771,0.25190839694656486,knapsack_proxy,0.008549618320610658,"{'4': 1357, '8': 691, '16': 1092, '32': 135}",R2plus1D-18,SSV2,r2plus1d_18_ssv2_full_e10_a100
Knapsack-learned@avg10f,9.996946564885496,0.2900763358778626,knapsack_learned,0.046717557251908376,"{'4': 185, '8': 214, '16': 256, '32': 0}",R2plus1D-18,SSV2,r2plus1d_18_ssv2_full_e10_a100
Oracle-knapsack@avg10f,9.996946564885496,0.3251908396946565,oracle_knapsack,0.0818320610687023,"{'4': 439, '8': 85, '16': 5, '32': 126}",R2plus1D-18,SSV2,r2plus1d_18_ssv2_full_e10_a100
Knapsack-proxy@avg12f,12.0,0.2616793893129771,knapsack_proxy,0.01832061068702287,"{'4': 1251, '8': 689, '16': 871, '32': 464}",R2plus1D-18,SSV2,r2plus1d_18_ssv2_full_e10_a100
Knapsack-learned@avg12f,12.0,0.3511450381679389,knapsack_learned,0.1077862595419847,"{'4': 133, '8': 128, '16': 394, '32': 0}",R2plus1D-18,SSV2,r2plus1d_18_ssv2_full_e10_a100
Oracle-knapsack@avg12f,12.0,0.3465648854961832,oracle_knapsack,0.10320610687022899,"{'4': 395, '8': 81, '16': 6, '32': 173}",R2plus1D-18,SSV2,r2plus1d_18_ssv2_full_e10_a100
Knapsack-proxy@avg14f,13.9993893129771,0.28030534351145037,knapsack_proxy,-0.1453435114503817,"{'4': 1070, '8': 666, '16': 813, '32': 726}",R2plus1D-18,SSV2,r2plus1d_18_ssv2_full_e10_a100
Knapsack-learned@avg14f,13.996946564885496,0.4015267175572519,knapsack_learned,-0.02412213740458019,"{'4': 88, '8': 32, '16': 535, '32': 0}",R2plus1D-18,SSV2,r2plus1d_18_ssv2_full_e10_a100
Oracle-knapsack@avg14f,13.996946564885496,0.36946564885496186,oracle_knapsack,-0.05618320610687022,"{'4': 348, '8': 78, '16': 11, '32': 218}",R2plus1D-18,SSV2,r2plus1d_18_ssv2_full_e10_a100
Knapsack-proxy@avg16f,16.0,0.30290076335877864,knapsack_proxy,-0.12274809160305344,"{'4': 886, '8': 663, '16': 730, '32': 996}",R2plus1D-18,SSV2,r2plus1d_18_ssv2_full_e10_a100
Knapsack-learned@avg16f,16.0,0.433587786259542,knapsack_learned,0.007938931297709895,"{'4': 0, '8': 0, '16': 655, '32': 0}",R2plus1D-18,SSV2,r2plus1d_18_ssv2_full_e10_a100
Oracle-knapsack@avg16f,16.0,0.3847328244274809,oracle_knapsack,-0.04091603053435117,"{'4': 308, '8': 70, '16': 11, '32': 266}",R2plus1D-18,SSV2,r2plus1d_18_ssv2_full_e10_a100
