coverage,stride,top1,n
10,1,0.0931372549019607,1020
10,2,0.0941176470588235,1020
10,4,0.0852941176470588,1020
10,8,0.0745098039215686,1020
10,16,0.0627450980392156,1020
25,1,0.1450980392156863,1020
25,2,0.1372549019607843,1020
25,4,0.1362745098039215,1020
25,8,0.1107843137254901,1020
25,16,0.0862745098039215,1020
50,1,0.2176470588235294,1020
50,2,0.2137254901960784,1020
50,4,0.1901960784313725,1020
50,8,0.1637254901960784,1020
50,16,0.1294117647058823,1020
75,1,0.2764705882352941,1020
75,2,0.2696078431372549,1020
75,4,0.242156862745098,1020
75,8,0.2107843137254902,1020
75,16,0.1598039215686274,1020
100,1,0.292156862745098,1020
100,2,0.2813725490196078,1020
100,4,0.2794117647058823,1020
100,8,0.2509803921568627,1020
100,16,0.1950980392156862,1020
